עיר,רחוב 1,רחוב 2,מרחק (מטר),קו רוחב 1,קו אורך 1,קו רוחב 2,קו אורך 2
מודיעין-מכבים-רעות,דוכיפת,נחליאלי,426,31.895851,34.9910197,31.8976375,34.9950146
באר שבע,אבן שושן,בינימין מזר,426,31.2454741,34.7584381,31.243273,34.7621064
אשדוד,רוגוזין,רוגזין,418,31.804711,34.642811,31.8081793,34.644529
אשקלון,דרום אפריקה,יחזקאל זונאבנד,417,31.6778127,34.5648024,31.6807394,34.5675495
כרמיאל,אשכולות,זמורה,416,32.9123038,35.2893368,32.9098297,35.2859883
אפרת,הזורעים,העומר,414,31.6813122,35.1701307,31.6831469,35.1739346
עפולה,האירוסים,חצב,414,32.6178519,35.3255333,32.6157597,35.3291861
חולון,ארבע ארצות,הסנהדרין,411,32.0040952,34.7666075,32.0026722,34.7625901
כפר ורדים,נופך,שוהם,410,33.0062564,35.2500819,33.0047691,35.2541088
אילת,דובדבן,האגס,409,29.5455406,34.9402112,29.5481921,34.937284
בית שאן,בבא סאלי,הלורד בלפור,409,32.4895987,35.4976587,32.4879534,35.5015532
ירושלים,"חזון אי""ש",חזון איש,406,31.807992,35.2249498,31.8078723,35.2206583
ראשון לציון,הרקפת,השזיף,404,31.9506045,34.8276419,31.9540619,34.8289485
זכרון יעקב,כביש חיפה רעננה,כביש חיפה-רעננה,403,32.5751875,34.9388597,32.571682,34.9377822
שדרות,המכבים,קרן קיימת לישראל,402,31.5315091,34.5865346,31.5305202,34.5824563
יקנעם עילית,חרמון,יער אודם,402,32.6380654,35.091825,32.6367372,35.0878336
באר שבע,מבצע חורב,מבצע נחשון,400,31.2620161,34.7874876,31.2596029,34.7843663
ירושלים,החורש,משעול העזרד,400,31.8074994,35.1989294,31.8097004,35.2022723
אשדוד,בעלי המלאכה,ההדרים,399,31.8140344,34.6628308,31.8176227,34.6629024
גבעתיים,"הל""ה","הפלמ""ח",399,32.0729505,34.8016778,32.0734175,34.8058722
חיפה,בר יהודה,מטרונית,397,32.7977942,35.0196667,32.7994575,35.0159055
בית שמש,הרב יעקב אדלשטיין,הרב ישראל גרוסמן,397,31.7199908,34.9819516,31.7187241,34.9858722
ירושלים,משקלוב,שאולזון הרב,396,31.7857158,35.1740618,31.788981,35.1723771
אשקלון,השקמה,יחזקאל זונאבנד,395,31.6776927,34.5651969,31.6804561,34.5678242
לוד,אדמונית,אהרון לובלין,395,31.9611109,34.8793839,31.9599515,34.8833401
ראש העין,אביטל,גלעד,395,32.0929114,34.9745859,32.0938028,34.9786403
מבשרת ציון,ארבל,תבור,394,31.8063064,35.1501957,31.8074821,35.1541323
נוף הגליל,יקינטון,מורן,393,32.7246797,35.3348164,32.7211448,35.3346204
חריש,ברקת,טופז,393,32.467309,35.0441471,32.466254,35.0481499
כפר סבא,השופטים,נביאים,392,32.1847531,34.9383108,32.1878596,34.9402894
ראשון לציון,רבי יהודה הנשיא,רבי משה בן נחמן,392,31.9484878,34.8125193,31.9474271,34.8164848
ראשון לציון,ניר דוד,שער הגולן,392,31.9611043,34.7787821,31.9604889,34.7746912
פתח תקווה,יוני נתניהו,שרגא רפאלי,392,32.1072068,34.8788308,32.104513,34.8815112
בית שאן,מעפילי אגוז,שדרות יצחק רבין,391,32.4859902,35.49574,32.4878698,35.4922126
ראשון לציון,ירמיהו הנביא,נחמיה,391,31.950061,34.815845,31.953567,34.8161524
ירושלים,גדרה,"המ""ג",391,31.7920483,35.1999857,31.7955057,35.1992403
קרני שומרון,הגבורה,ההתנחלות,389,32.1700781,35.0949722,32.1690461,35.0989164
ירושלים,ירמיהו,תובל,387,31.7921499,35.2075959,31.7916381,35.2035461
באר שבע,יהודה הנחתום,יהושע הצורף,386,31.2559742,34.8172165,31.2576416,34.8136572
באר שבע,רינגלבלום,שדרות יצחק רגר,385,31.2695485,34.7980994,31.2660912,34.7980093
בית שמש,נהר דן,שדרות נהר הדן,384,31.7149499,34.9787769,31.7178171,34.9810457
נוף הגליל,אורנים,כרמל,380,32.7049862,35.3166256,32.7075992,35.3140028
לוד,אליעזר קפלן,ההסתדרות,379,31.9425044,34.8870942,31.9416316,34.8832092
אשקלון,גבעתי,הראל,379,31.6799873,34.5647093,31.6827603,34.5670412
באר שבע,בלפור,"שח""ל",379,31.2464986,34.7907681,31.2465259,34.7947558
אלקנה,טורי זהב,שיר השירים,378,32.1085912,35.0334094,32.1075661,35.03724
ירושלים,"זלמן שז""ר",מנהרת סילברסטיין,378,31.787558,35.2052632,31.7877575,35.2012723
נוף הגליל,השיקמה,יזרעאל,377,32.6904126,35.3169848,32.6890731,35.3132787
מודיעין-מכבים-רעות,אדר,חשון,377,31.9123892,35.0144715,31.9151295,35.0121182
כפר ורדים,אודם,שוהם,377,33.0057189,35.2498863,33.0043512,35.2535864
גן יבנה,אחד העם,הערוגות,376,31.7964609,34.701131,31.7975396,34.7048999
חיפה,הגליל,מצפה,376,32.7875943,35.0202977,32.7903507,35.017973
ירושלים,בצלאל בזק,דרך אריאל שרון,368,31.7661112,35.1972546,31.7670227,35.1935128
גבעת זאב,אבני חושן,ברקת,367,31.8373988,35.1670905,31.8350447,35.1698076
ראש העין,בזלת,גרניט,367,32.1004647,34.961276,32.1024912,34.9582064
ירושלים,שמחה כהן,שמחת כהן,366,31.7208458,35.225769,31.7212926,35.2296054
מבשרת ציון,כרמים,מצפה הבירה,363,31.7929004,35.1492847,31.7926235,35.1454614
אשקלון,גבעתי,דרום אפריקה,362,31.6794041,34.5656103,31.6810827,34.5688928
זכרון יעקב,הגדעונים,הנוטרים,362,32.5620527,34.9463315,32.5652896,34.9459716
אשדוד,חזקיה המלך,שלמה המלך,361,31.7775594,34.6467717,31.7743278,34.6463542
ירושלים,"החיד""א",הפסגה,361,31.7672211,35.1834734,31.7703491,35.1824459
בת ים,"הפלמ""ח",השלושה,360,32.0273201,34.7552502,32.0295287,34.758048
רמת גן,סמדר,שדרת הנרקיסים,360,32.0955916,34.8180316,32.0940402,34.814679
גבעתיים,אנצו סירני,"רמב""ם",359,32.0702984,34.8064606,32.0705278,34.8026577
ראשון לציון,חומה ומגדל,נגבה,359,31.9669334,34.7777583,31.9640528,34.7760363
אלפי מנשה,ארבל,גלעד,358,32.1717909,35.0092579,32.1686121,35.0098871
ירושלים,אל אסמעי,מרג' אל מהור,358,31.8118585,35.2370652,31.8126765,35.2334008
זכרון יעקב,יהלום,ספיר,357,32.5622582,34.9418778,32.5653341,34.9429787
גן יבנה,הכישור,העמל,354,31.7752766,34.7024977,31.7773853,34.7053048
שלומי,האלון,הארזים,353,33.0756112,35.1565972,33.0787197,35.1573886
דימונה,אלחריזי,שלמה איבן גבירול,353,31.0736992,35.0438634,31.0761759,35.0415471
ראשון לציון,נגבה,שדה נחום,353,31.9658795,34.7804426,31.9629825,34.7789162
באר שבע,הר רמון,הר תבור,352,31.276057,34.8108719,31.2768317,34.8072817
זכרון יעקב,הנוטרים,וינגייט,351,32.5650517,34.944955,32.5619273,34.9455222
חיפה,קדושי דמשק,"ש""י עגנון",351,32.8221111,34.9799246,32.8198195,34.9825139
זכרון יעקב,ברקת,ענבר,351,32.5651085,34.9421035,32.5623519,34.9402718
קרני שומרון,ההתנחלות,התקווה,350,32.1697663,35.0989843,32.1706573,35.0954153
רמת גן,סמדר,שדרות העם הצרפתי,350,32.0947605,34.8183309,32.0933704,34.8149994
אשקלון,אדמונד דה רוטשילד,בלפור,348,31.6868298,34.5768585,31.6878829,34.5803189
נתניה,אוסישקין,ראשון לציון,347,32.3291925,34.8513424,32.3261065,34.8507806
רמת גן,אלוף דוד,כרמלי,346,32.0546681,34.8128913,32.0576454,34.8139527
אלקנה,טורי זהב,עמודי שיש,345,32.1070621,35.0326766,32.1059347,35.0360891
ירושלים,נאהורי,קדיש לוז,344,31.7632629,35.1821874,31.7663143,35.1815868
רמת גן,המרגנית,שדרת הנרקיסים,344,32.0926165,34.809667,32.0934586,34.8131778
דימונה,ציפורן,שיזף,343,31.081745,35.0412813,31.0818684,35.037681
ראש העין,ג'ון קנדי,דוד המלך,342,32.0947272,34.9524686,32.0977956,34.952751
ירושלים,דרך בית חורון,עטרות,342,31.84945,35.2232594,31.8495055,35.2196415
נוף הגליל,איריס,מגידו,341,32.7100951,35.3075602,32.7090157,35.3109732
רמת גן,המרגנית,שדרות העם הצרפתי,340,32.0925328,34.8136715,32.0909775,34.8105653
ירושלים,בר יוחאי,סן מרטין,340,31.7541661,35.192693,31.753715,35.1962483
אשדוד,שבט בנימין,שבט לוי,340,31.7778997,34.6380627,31.7784899,34.6345354
קריית אונו,ההדר,שלמה המלך,339,32.0550314,34.8626036,32.0540763,34.8591827
כרמיאל,דוכיפת,עגור,338,32.9058056,35.2869688,32.903526,35.2893608
לוד,אבו בכר אל סדיק,סלאח א דין,338,31.9512563,34.8746524,31.9541388,34.8757792
ירושלים,אברהם כחילה,אדמונד סחייק,337,31.7471801,35.1796629,31.750197,35.1792747
ירושלים,סולם יעקב,שיבת ציון,336,31.8156717,35.1996064,31.8171817,35.202689
מודיעין-מכבים-רעות,טבת,כסלו,335,31.9139884,35.0094145,31.9166165,35.0076736
מודיעין-מכבים-רעות,נהר הירדן,נחל אלעל,335,31.8953644,35.0040654,31.8966516,35.0072683
אשקלון,דפנה,לוטוס,334,31.6502178,34.5778382,31.6519835,34.5806964
באר שבע,הכט ראובן,יעקב חזן,334,31.2749455,34.8162136,31.2749502,34.819727
טבריה,האבות,חיים משה שפירא,332,32.7820538,35.5060424,32.7808164,35.5092788
לוד,לאה אימנו,רבקה אימנו,332,31.9387744,34.897498,31.9416014,34.8986145
ירושלים,איסלנד,קולומביה,329,31.7577852,35.1673441,31.7588332,35.1640861
באר שבע,בינימין מזר,בנימין מזר,329,31.2438263,34.7618853,31.2454976,34.7590266
פתח תקווה,אלכסנדר ינאי,ענבר,329,32.1065255,34.8979847,32.1091471,34.899606
לוד,לאה אימנו,רחל אמינו,328,31.9387744,34.897498,31.9413762,34.8991382
עכו,אחד העם,בבל,327,32.9379685,35.0919138,32.9350302,35.0919053
ראש העין,אבן גבירול,יבניאלי,326,32.0952452,34.9395441,32.0961582,34.9428341
אשדוד,האורגים,הבנאים,325,31.8150765,34.6584602,31.8121597,34.65832
בית שמש,האיריס,הכלנית,322,31.7395647,34.9815673,31.7391109,34.9782
בית אריה,התמר,קורנית,321,32.0399629,35.0469071,32.0421565,35.0491282
בית שמש,ז'בוטינסקי,"רמב""ם",321,31.7525782,34.9916971,31.7512418,34.9947009
מצפה רמון,נחל ניצנה,עין שביב,320,30.6162606,34.7971194,30.618287,34.799491
בת ים,אנילביץ,אנילביץ',320,32.0220755,34.750727,32.0219651,34.7541156
רמלה,המצביאים,"הרמ""א",318,31.9331395,34.8901722,31.9353064,34.8879703
בית שמש,האומן,הצבעי,318,31.7537758,34.9970853,31.7546653,34.9938907
יקנעם עילית,הערבה,רותם,316,32.6486887,35.0918059,32.6466357,35.0894712
כרמיאל,מורד הגיא,צאלון,316,32.9058987,35.2944218,32.9055082,35.2977719
ירושלים,טיילת אליהו הנביא,מעלה השלום,314,31.7710339,35.2267651,31.7709298,35.2300832
ערד,אגמית,אנפה,314,31.2659671,35.2115177,31.2661132,35.2148135
שדרות,"זלמן שז""ר",נתן אלבז,313,31.5285961,34.5931724,31.5296626,34.5962229
עפולה,האירוסים,שדרות קונטיקט,312,32.6200269,35.3242323,32.6193205,35.3274597
ירושלים,אל-מכפה,ד'את אל-נטאקין,311,31.7337075,35.2410965,31.7313506,35.2428679
ירושלים,הכרכום,הנרד,311,31.7572883,35.1707771,31.7555668,35.1733661
ראשון לציון,החלוצים,מרום גולן,311,31.9843163,34.76354,31.9837569,34.7603123
זכרון יעקב,"הפלמ""ח","תש""ח",310,32.5631367,34.9485999,32.5659211,34.948685
זכרון יעקב,העצמאות,"תש""ח",310,32.5631367,34.9485999,32.5659211,34.948685
זכרון יעקב,העצמאות,"הפלמ""ח",310,32.5631367,34.9485999,32.5659211,34.948685
באר שבע,חצב,סתונית,310,31.227873,34.7785874,31.2298198,34.780915
גבעתיים,יבניאלי,קפלנסקי,309,32.0627969,34.8184704,32.0641613,34.8156174
ירושלים,יפה רום,צביה ויצחק,309,31.7306628,35.1892885,31.7324361,35.1867772
זכרון יעקב,ברק,כנפי נשרים,308,32.5602113,34.9643209,32.5575875,34.9653885
ירושלים,חומת הצלפים,עין כרם,308,31.7685942,35.1622258,31.7684564,35.1654813
רעננה,הנשיאים,חטיבת גולני,306,32.1895049,34.8631327,32.1868444,34.862315
נתניה,חיים לסקוב,משה סנה,305,32.2724847,34.8461873,32.2716599,34.8430901
מגדל,האשכולית,נוף הארבל,305,32.8391485,35.5041751,32.8379258,35.5070995
חיפה,אהוד,יותם,305,32.7915432,34.9874824,32.7942875,34.9874903
ירושלים,גבעת שאול,כתב סופר,305,31.7919811,35.1936161,31.7909826,35.1966197
אשדוד,הרב שאולי,קרן היסוד,304,31.7987074,34.6421167,31.7963411,34.6405103
הרצליה,ברל כצנלסון,גיל,303,32.1603001,34.8588697,32.1629473,34.859637
קריית אונו,בלינסון,כצנלסון,303,32.0602038,34.8515231,32.0608013,34.8546579
נס ציונה,הזמיר,סנונית,302,31.9097753,34.7839114,31.9085536,34.7867701
רמת גן,הגלגל,המיתר,301,32.0805833,34.8208373,32.0830927,34.8220467
בני ברק,זאב ז'בוטינסקי,זבוטינסקי,300,32.0928134,34.8362321,32.0927588,34.8394201
רמת גן,אלוף דוד,קרייתי,300,32.055086,34.8121971,32.0576623,34.813132
עפולה,אפרים מזרחי,הרב יהודה שטרית,298,32.6052889,35.2772529,32.6077824,35.2760928
אשקלון,אליהו הנביא,נתן הנביא,298,31.6603581,34.5844467,31.6577236,34.5850073
אשדוד,הר מצדה,הר נבו,296,31.7792995,34.6277435,31.7817517,34.6265168
הרצליה,בורוכוב,צעירי ציון,295,32.1706844,34.8536451,32.1704656,34.8567659
רמת גן,בן גוריון,הגלגל,294,32.0806846,34.8201579,32.0831717,34.8212069
באר שבע,בכור שיטרית,שדרות גולדה מאיר,293,31.2551949,34.7656447,31.2555803,34.7625938
ירושלים,"זווין ש""י",ניימן הרב שמואל גדליה,293,31.8405697,35.2479914,31.8430821,35.2489247
ירושלים,חיל האוויר,יעקב יהושע,293,31.831587,35.2455876,31.8292461,35.2470003
מצפה רמון,נוגה,שביט,292,30.6150678,34.7927955,30.6128562,34.7944377
בית שאן,השקמה,רימון,291,32.4902172,35.5044036,32.4928295,35.5046637
ירושלים,אורי בר און,נחום אהרונפלד,290,31.8254114,35.2454941,31.8273701,35.2475211
מבשרת ציון,דרך אריאל שרון,כביש ירושלים תל אביב,289,31.7967314,35.157025,31.7972748,35.1540305
באר שבע,הר מירון,הר תבור,288,31.2769974,34.8108649,31.2773211,34.807856
גן יבנה,הערוגות,הרגב,288,31.7980617,34.7042428,31.7971908,34.7013782
בת ים,דניאל,הרב הרצוג,287,32.0227195,34.7501022,32.0252971,34.750178
חיפה,הרב אוחנה,הרב מרכוס,287,32.8111782,35.0003284,32.8099164,35.003003
גן יבנה,אלתרמן נתן,הקציר,286,31.7950775,34.7061195,31.796366,34.7087381
אשקלון,דרום אפריקה,קפסטט,286,31.674231,34.5636657,31.6767433,34.5642944
מבשרת ציון,מבצע נחשון,"פלמ""ח",285,31.7948712,35.1418502,31.7945264,35.1388569
באר שבע,נחל משמר,נחל שילה,285,31.2319219,34.817999,31.233861,34.8160335
רמת גן,יוסף צבי,קיש,284,32.0656149,34.8201254,32.0653981,34.8171206
ראשון לציון,המגילה,המלך,284,31.9975769,34.7457652,31.9999849,34.7467737
חיפה,גשר גדוד 22,הגיבורים,284,32.803359,35.008569,32.8047914,35.0060514
שדרות,האחוזה,נחל פרת,284,31.5366655,34.582431,31.5392131,34.5822011
בית שאן,דיין משה,ידין יגאל,284,32.4970105,35.4913405,32.495242,35.4935223
בית שאן,הרב יצחק הרצוג,ירושלים הבירה,282,32.4932232,35.4960381,32.4913478,35.4980694
חיפה,"י""א הספורטאים",משה פלימן,281,32.788275,34.9692273,32.7875331,34.972104
באר שבע,ברנהרד והרמן צונדק,משעול ליליאן,281,31.2703979,34.8091861,31.268043,34.8081195
באר שבע,בית שאן,שומרון,281,31.250192,34.7664939,31.2476883,34.766131
ערד,מפל,נחל,280,31.2530694,35.1973944,31.2549828,35.1993144
ראשון לציון,יחזקאל הנביא,נחמיה,280,31.9528164,34.8145442,31.9503109,34.8148513
קריית טבעון,הברושים,התאנה,280,32.725061,35.1411785,32.7252497,35.1441635
חיפה,האצטדיון,מטרונית,280,32.8257565,35.0596971,32.8234688,35.0584493
חיפה,"אז""ר",ברל,280,32.7873572,35.0126185,32.7865423,35.0154471
ראשון לציון,יהושע גיבשטיין,פיינשטיין יונה צבי,279,31.9521675,34.8108678,31.9542216,34.8125681
אפרת,נצר ישי,רות,277,31.6525122,35.1502237,31.6549903,35.1505528
בית שאן,אמנון ותמר,ידין יגאל,277,32.4966962,35.4907282,32.4949722,35.4928634
רמת גן,אחד העם,מתניה,277,32.0484079,34.8183711,32.0494422,34.821047
אשדוד,יהויכין המלך,שלמה המלך,277,31.7724795,34.6418915,31.7724751,34.6448235
אילת,דודאים,הבשמים,277,29.5392904,34.9356262,29.5379155,34.9332369
באר שבע,בת-שבע בן-אליהו,עפרה חזה,275,31.2722803,34.7564653,31.2734031,34.7590483
טבריה,אסתר המלכה,שמעון פרס,275,32.7931606,35.5192185,32.7907028,35.5188587
